image_path,label
real_01.jpg,real
real_02.jpg,real
real_03.jpg,real
real_04.jpg,real
real_05.jpg,real
real_06.jpg,real
real_07.jpg,real
real_08.jpg,real
real_09.jpg,real
real_10.jpg,real
real_11.jpg,real
real_12.jpg,real
real_13.jpg,real
real_14.jpg,real
real_15.jpg,real
real_16.jpg,real
real_17.jpg,real
real_18.jpg,real
real_19.jpg,real
real_20.jpg,real
ai_01.jpg,ai_generated
ai_02.jpg,ai_generated
ai_03.jpg,ai_generated
ai_04.jpg,ai_generated
ai_05.jpg,ai_generated
ai_06.jpg,ai_generated
ai_07.jpg,ai_generated
ai_08.jpg,ai_generated
ai_09.jpg,ai_generated
ai_10.jpg,ai_generated
ai_11.jpg,ai_generated
ai_12.jpg,ai_generated
ai_13.jpg,ai_generated
ai_14.jpg,ai_generated
ai_15.jpg,ai_generated
ai_16.jpg,ai_generated
ai_17.jpg,ai_generated
ai_18.jpg,ai_generated
ai_19.jpg,ai_generated
ai_20.jpg,ai_generated
deepfake_01.jpg,deepfake
deepfake_02.jpg,deepfake
deepfake_03.jpg,deepfake
deepfake_04.jpg,deepfake
deepfake_05.jpg,deepfake
deepfake_06.jpg,deepfake
deepfake_07.jpg,deepfake
deepfake_08.jpg,deepfake
deepfake_09.jpg,deepfake
deepfake_10.jpg,deepfake
deepfake_11.jpg,deepfake
deepfake_12.jpg,deepfake
deepfake_13.jpg,deepfake
deepfake_14.jpg,deepfake
deepfake_15.jpg,deepfake
deepfake_16.jpg,deepfake
deepfake_17.jpg,deepfake
deepfake_18.jpg,deepfake
deepfake_19.jpg,deepfake
deepfake_20.jpg,deepfake
